,domain,method,seen,unseen,H-mean
0,angry -> childlike,base,93.40 ± 2.82,30.35 ± 11.40,38.87 ± 12.93
1,angry -> childlike,CCVAE,90.62 ± 4.19,26.72 ± 11.77,32.82 ± 14.12
2,angry -> childlike,our_GRE,85.76 ± 6.49,48.19 ± 12.44,54.82 ± 11.97
3,angry -> depressed,base,94.08 ± 3.07,15.81 ± 4.59,25.60 ± 6.87
4,angry -> depressed,CCVAE,91.99 ± 4.95,8.41 ± 3.33,14.53 ± 5.40
5,angry -> depressed,our_GRE,86.65 ± 6.62,46.34 ± 11.88,53.49 ± 11.74
6,angry -> neutral,base,97.22 ± 2.78,44.14 ± 12.00,55.37 ± 12.73
7,angry -> neutral,CCVAE,96.30 ± 3.70,39.81 ± 10.87,51.23 ± 12.27
8,angry -> neutral,our_GRE,93.52 ± 6.48,48.31 ± 12.33,57.60 ± 12.90
9,angry -> old,base,92.43 ± 3.58,8.78 ± 4.84,14.43 ± 7.36
10,angry -> old,CCVAE,92.43 ± 3.58,3.39 ± 2.78,5.91 ± 4.72
11,angry -> old,our_GRE,91.39 ± 4.31,44.55 ± 12.28,53.40 ± 12.43
12,angry -> proud,base,100.00 ± 0.00,41.89 ± 11.34,54.15 ± 12.55
13,angry -> proud,CCVAE,100.00 ± 0.00,36.70 ± 10.56,49.14 ± 12.05
14,angry -> proud,our_GRE,100.00 ± 0.00,46.69 ± 12.56,58.23 ± 13.11
15,angry -> strutting,base,98.33 ± 1.67,40.21 ± 10.76,52.50 ± 12.00
16,angry -> strutting,CCVAE,96.67 ± 3.33,35.71 ± 10.78,47.30 ± 11.92
17,angry -> strutting,our_GRE,90.83 ± 5.83,49.47 ± 12.77,58.23 ± 13.19
18,childlike -> angry,base,97.92 ± 2.08,27.06 ± 10.42,36.50 ± 13.45
19,childlike -> angry,CCVAE,97.92 ± 2.08,25.00 ± 11.18,32.83 ± 14.69
20,childlike -> angry,our_GRE,97.92 ± 2.08,34.60 ± 9.99,46.10 ± 12.82
21,childlike -> depressed,base,95.34 ± 2.71,2.64 ± 1.95,4.78 ± 3.44
22,childlike -> depressed,CCVAE,94.15 ± 2.55,2.44 ± 2.20,4.30 ± 3.84
23,childlike -> depressed,our_GRE,92.96 ± 2.93,36.25 ± 11.80,45.69 ± 12.96
24,childlike -> neutral,base,97.16 ± 2.07,30.80 ± 10.16,41.35 ± 13.37
25,childlike -> neutral,CCVAE,97.16 ± 2.07,25.00 ± 11.18,32.83 ± 14.69
26,childlike -> neutral,our_GRE,97.16 ± 2.07,42.94 ± 13.45,52.13 ± 15.38
27,childlike -> old,base,95.30 ± 3.05,0.36 ± 0.36,0.71 ± 0.71
28,childlike -> old,CCVAE,95.30 ± 3.05,0.00 ± 0.00,0.00 ± 0.00
29,childlike -> old,our_GRE,94.66 ± 3.38,14.65 ± 10.69,19.79 ± 12.38
