domain,method,seen,unseen,H-mean
angry -> childlike,base,93.40 ± 2.82,30.35 ± 11.40,38.87 ± 12.93
angry -> childlike,VisTA,75.00 ± 9.68,53.22 ± 10.54,54.64 ± 6.44
angry -> childlike,CCVAE,90.62 ± 4.19,26.72 ± 11.77,32.82 ± 14.12
angry -> childlike,our_GRE,85.76 ± 6.49,48.19 ± 12.44,54.82 ± 11.97
angry -> childlike,TUPL,91.29 ± 2.74,59.18 ± 4.78,71.17 ± 3.43
angry -> childlike,our_TUPL_interp_src2tgt,93.63 ± 1.92,52.93 ± 10.79,64.32 ± 8.23
angry -> depressed,base,94.08 ± 3.07,15.81 ± 4.59,25.60 ± 6.87
angry -> depressed,VisTA,60.93 ± 9.54,38.72 ± 9.69,38.57 ± 6.80
angry -> depressed,CCVAE,91.99 ± 4.95,8.41 ± 3.33,14.53 ± 5.40
angry -> depressed,our_GRE,86.65 ± 6.62,46.34 ± 11.88,53.49 ± 11.74
angry -> depressed,TUPL,93.66 ± 1.46,51.97 ± 6.51,65.43 ± 5.17
angry -> depressed,our_TUPL_interp_src2tgt,91.09 ± 2.72,29.05 ± 6.35,42.38 ± 7.50
angry -> neutral,base,97.22 ± 2.78,44.14 ± 12.00,55.37 ± 12.73
angry -> neutral,VisTA,71.88 ± 10.92,43.95 ± 14.56,40.31 ± 9.15
angry -> neutral,CCVAE,96.30 ± 3.70,39.81 ± 10.87,51.23 ± 12.27
angry -> neutral,our_GRE,93.52 ± 6.48,48.31 ± 12.33,57.60 ± 12.90
angry -> neutral,TUPL,100.00 ± 0.00,55.60 ± 12.90,66.43 ± 12.42
angry -> neutral,our_TUPL_interp_src2tgt,92.37 ± 2.78,57.35 ± 9.18,68.35 ± 7.54
angry -> old,base,92.43 ± 3.58,8.78 ± 4.84,14.43 ± 7.36
angry -> old,VisTA,52.35 ± 12.64,32.85 ± 10.48,28.22 ± 8.95
angry -> old,CCVAE,92.43 ± 3.58,3.39 ± 2.78,5.91 ± 4.72
angry -> old,our_GRE,91.39 ± 4.31,44.55 ± 12.28,53.40 ± 12.43
angry -> old,TUPL,91.61 ± 2.30,36.07 ± 8.61,48.78 ± 8.79
angry -> old,our_TUPL_interp_src2tgt,87.97 ± 3.65,27.17 ± 4.71,39.98 ± 5.49
angry -> proud,base,100.00 ± 0.00,41.89 ± 11.34,54.15 ± 12.55
angry -> proud,VisTA,56.94 ± 13.89,57.06 ± 10.44,48.31 ± 8.17
angry -> proud,CCVAE,100.00 ± 0.00,36.70 ± 10.56,49.14 ± 12.05
angry -> proud,our_GRE,100.00 ± 0.00,46.69 ± 12.56,58.23 ± 13.11
angry -> proud,TUPL,99.31 ± 0.69,65.27 ± 12.67,74.74 ± 10.18
angry -> proud,our_TUPL_interp_src2tgt,96.53 ± 1.99,54.21 ± 6.68,68.04 ± 6.14
angry -> strutting,base,98.33 ± 1.67,40.21 ± 10.76,52.50 ± 12.00
angry -> strutting,VisTA,36.98 ± 8.40,53.35 ± 3.55,39.93 ± 8.64
angry -> strutting,CCVAE,96.67 ± 3.33,35.71 ± 10.78,47.30 ± 11.92
angry -> strutting,our_GRE,90.83 ± 5.83,49.47 ± 12.77,58.23 ± 13.19
angry -> strutting,TUPL,94.44 ± 4.12,59.34 ± 11.59,69.71 ± 9.27
angry -> strutting,our_TUPL_interp_src2tgt,94.17 ± 3.60,43.20 ± 5.90,57.71 ± 6.25
