domain,method,seen,unseen,H-mean
A -> D,base,92.32 ± 1.37,67.06 ± 4.20,77.30 ± 2.48
A -> D,CCVAE,87.73 ± 2.36,87.48 ± 2.46,87.42 ± 1.37
A -> D,TUPL,72.92 ± 1.90,64.69 ± 3.11,68.43 ± 2.32
A -> D,our_GRE,85.60 ± 2.53,85.66 ± 2.33,85.44 ± 1.39
A -> D,our_TUPL_interp_src2tgt,55.79 ± 3.63,57.22 ± 3.38,56.05 ± 2.59
A -> W,base,91.83 ± 0.44,58.19 ± 3.21,71.07 ± 2.47
A -> W,CCVAE,87.54 ± 1.09,82.67 ± 1.95,84.95 ± 0.95
A -> W,TUPL,69.83 ± 2.15,59.52 ± 2.95,63.89 ± 1.21
A -> W,our_GRE,85.19 ± 1.30,83.15 ± 1.38,84.10 ± 0.81
A -> W,our_TUPL_interp_src2tgt,59.71 ± 2.24,51.39 ± 2.95,54.87 ± 1.62
D -> A,base,87.29 ± 1.17,38.12 ± 1.18,53.02 ± 1.17
D -> A,CCVAE,83.59 ± 1.60,58.52 ± 1.63,68.70 ± 0.66
D -> A,TUPL,86.43 ± 0.91,34.91 ± 2.15,49.54 ± 1.96
D -> A,our_GRE,81.08 ± 1.55,63.30 ± 1.72,70.95 ± 0.53
D -> A,our_TUPL_interp_src2tgt,76.02 ± 1.37,52.82 ± 2.17,62.14 ± 1.26
D -> W,base,99.50 ± 0.20,93.85 ± 1.36,96.57 ± 0.75
D -> W,CCVAE,97.20 ± 0.56,94.89 ± 1.33,96.00 ± 0.52
D -> W,TUPL,99.43 ± 0.16,98.37 ± 0.59,98.89 ± 0.29
D -> W,our_GRE,94.13 ± 1.41,95.98 ± 0.95,94.99 ± 0.36
D -> W,our_TUPL_interp_src2tgt,97.73 ± 0.18,99.23 ± 0.10,98.47 ± 0.07
W -> A,base,87.80 ± 1.11,37.29 ± 1.34,52.27 ± 1.25
W -> A,CCVAE,83.23 ± 1.57,60.25 ± 1.93,69.73 ± 0.91
W -> A,TUPL,83.99 ± 0.55,35.89 ± 1.54,50.19 ± 1.41
W -> A,our_GRE,80.54 ± 1.93,62.60 ± 2.59,70.16 ± 0.95
W -> A,our_TUPL_interp_src2tgt,73.19 ± 1.54,46.69 ± 2.56,56.73 ± 1.57
W -> D,base,99.46 ± 0.25,98.55 ± 0.55,99.00 ± 0.19
W -> D,CCVAE,98.34 ± 0.30,99.30 ± 0.30,98.82 ± 0.11
W -> D,TUPL,100.00 ± 0.00,98.47 ± 0.58,99.23 ± 0.29
W -> D,our_GRE,97.25 ± 0.37,99.76 ± 0.15,98.49 ± 0.13
W -> D,our_TUPL_interp_src2tgt,98.78 ± 0.46,99.85 ± 0.15,99.31 ± 0.29
