,domain,method,seen,unseen,H-mean
0,Art -> Clipart,base,71.69 ± 0.55,28.16 ± 0.58,40.41 ± 0.52
1,Art -> Clipart,CCVAE,66.56 ± 0.56,41.56 ± 0.79,51.13 ± 0.48
2,Art -> Clipart,our_GRE,63.98 ± 0.60,45.21 ± 0.76,52.96 ± 0.50
3,Art -> Product,base,89.66 ± 0.14,53.13 ± 1.24,66.68 ± 0.96
4,Art -> Product,CCVAE,87.17 ± 0.38,65.26 ± 0.98,74.62 ± 0.60
5,Art -> Product,our_GRE,85.41 ± 0.48,68.76 ± 1.19,76.15 ± 0.67
6,Art -> RealWorld,base,85.95 ± 0.93,62.81 ± 0.59,72.56 ± 0.37
7,Art -> RealWorld,CCVAE,83.59 ± 0.90,69.13 ± 0.86,75.65 ± 0.39
8,Art -> RealWorld,our_GRE,81.35 ± 1.04,73.35 ± 0.74,77.10 ± 0.27
9,Clipart -> Art,base,72.71 ± 0.46,33.25 ± 1.35,45.56 ± 1.24
10,Clipart -> Art,CCVAE,69.55 ± 0.86,50.99 ± 0.83,58.80 ± 0.34
11,Clipart -> Art,our_GRE,66.46 ± 1.05,53.32 ± 0.58,59.14 ± 0.36
12,Clipart -> Product,base,88.20 ± 0.30,50.01 ± 1.87,63.75 ± 1.50
13,Clipart -> Product,CCVAE,85.60 ± 0.54,63.44 ± 1.94,72.78 ± 1.14
14,Clipart -> Product,our_GRE,83.20 ± 0.81,66.62 ± 2.11,73.88 ± 1.05
15,Clipart -> RealWorld,base,86.83 ± 0.72,48.60 ± 1.78,62.21 ± 1.27
16,Clipart -> RealWorld,CCVAE,83.60 ± 0.83,65.22 ± 1.80,73.18 ± 0.83
17,Clipart -> RealWorld,our_GRE,81.02 ± 0.91,68.73 ± 1.63,74.28 ± 0.65
18,Product -> Art,base,72.28 ± 0.72,35.73 ± 1.53,47.71 ± 1.26
19,Product -> Art,CCVAE,67.86 ± 0.61,51.54 ± 0.59,58.57 ± 0.35
20,Product -> Art,our_GRE,64.94 ± 0.28,55.12 ± 1.02,59.61 ± 0.60
21,Product -> Clipart,base,72.14 ± 0.42,25.85 ± 0.99,38.02 ± 1.09
22,Product -> Clipart,CCVAE,66.61 ± 0.21,43.91 ± 1.00,52.90 ± 0.77
23,Product -> Clipart,our_GRE,64.23 ± 0.37,46.53 ± 1.03,53.94 ± 0.78
24,Product -> RealWorld,base,87.96 ± 0.73,62.96 ± 1.97,73.28 ± 1.10
25,Product -> RealWorld,CCVAE,84.06 ± 0.78,72.03 ± 1.64,77.50 ± 0.63
26,Product -> RealWorld,our_GRE,81.37 ± 0.88,74.92 ± 1.41,77.95 ± 0.44
27,RealWorld -> Art,base,73.61 ± 0.51,54.60 ± 0.51,62.69 ± 0.45
28,RealWorld -> Art,CCVAE,71.51 ± 0.95,62.41 ± 1.22,66.58 ± 0.44
29,RealWorld -> Art,our_GRE,67.79 ± 0.83,65.20 ± 0.99,66.42 ± 0.17
30,RealWorld -> Clipart,base,72.19 ± 0.30,33.48 ± 1.00,45.71 ± 0.95
31,RealWorld -> Clipart,CCVAE,67.29 ± 0.46,47.29 ± 0.35,55.53 ± 0.20
32,RealWorld -> Clipart,our_GRE,64.15 ± 0.50,50.91 ± 0.38,56.76 ± 0.28
33,RealWorld -> Product,base,90.03 ± 0.18,72.35 ± 1.61,80.19 ± 1.00
34,RealWorld -> Product,CCVAE,87.29 ± 0.24,77.21 ± 1.35,81.91 ± 0.68
35,RealWorld -> Product,our_GRE,85.09 ± 0.76,79.45 ± 1.33,82.12 ± 0.41
