domain,method,seen,unseen,H-mean
regu -> xray,base,84.21 ± 2.22,2.56 ± 0.49,4.94 ± 0.92
regu -> xray,CCVAE,77.56 ± 2.11,29.50 ± 2.95,42.50 ± 3.44
regu -> xray,TUPL,81.00 ± 1.52,10.46 ± 1.36,18.37 ± 2.14
regu -> xray,our_GRE,72.31 ± 2.45,32.77 ± 1.47,45.05 ± 1.68
regu -> xray,our_TUPL_interp_src2tgt,67.32 ± 2.81,19.19 ± 1.28,29.79 ± 1.70
xray -> regu,base,94.66 ± 1.00,20.41 ± 4.23,32.73 ± 6.05
xray -> regu,CCVAE,90.67 ± 1.01,52.01 ± 2.86,65.88 ± 2.29
xray -> regu,TUPL,87.74 ± 1.67,30.38 ± 4.43,44.38 ± 4.84
xray -> regu,our_GRE,86.87 ± 0.75,55.23 ± 2.16,67.41 ± 1.54
xray -> regu,our_TUPL_interp_src2tgt,82.39 ± 2.18,30.62 ± 3.51,44.27 ± 4.12
