,domain,method,seen,unseen,H-mean
0,angry -> childlike,Base,93.40 ± 2.82,30.35 ± 11.40,38.87 ± 12.93
1,angry -> childlike,GZSDA,90.62 ± 4.19,26.72 ± 11.77,32.82 ± 14.12
2,angry -> childlike,Our,86.81 ± 5.12,46.74 ± 12.14,54.27 ± 11.76
3,angry -> childlike,Our+GRE,85.76 ± 6.49,48.19 ± 12.44,54.82 ± 11.97
4,angry -> depressed,Base,94.08 ± 3.07,15.81 ± 4.59,25.60 ± 6.87
5,angry -> depressed,GZSDA,91.99 ± 4.95,8.41 ± 3.33,14.53 ± 5.40
6,angry -> depressed,Our,86.65 ± 6.62,44.67 ± 11.54,52.74 ± 11.71
7,angry -> depressed,Our+GRE,86.65 ± 6.62,46.34 ± 11.88,53.49 ± 11.74
8,angry -> neutral,Base,97.22 ± 2.78,44.14 ± 12.00,55.37 ± 12.73
9,angry -> neutral,GZSDA,96.30 ± 3.70,39.81 ± 10.87,51.23 ± 12.27
10,angry -> neutral,Our,94.44 ± 5.56,47.58 ± 12.26,57.57 ± 12.90
11,angry -> neutral,Our+GRE,93.52 ± 6.48,48.31 ± 12.33,57.60 ± 12.90
12,angry -> old,Base,92.43 ± 3.58,8.78 ± 4.84,14.43 ± 7.36
13,angry -> old,GZSDA,92.43 ± 3.58,3.39 ± 2.78,5.91 ± 4.72
14,angry -> old,Our,92.43 ± 3.58,45.25 ± 12.04,54.54 ± 12.16
15,angry -> old,Our+GRE,91.39 ± 4.31,44.55 ± 12.28,53.40 ± 12.43
16,angry -> proud,Base,100.00 ± 0.00,41.89 ± 11.34,54.15 ± 12.55
17,angry -> proud,GZSDA,100.00 ± 0.00,36.70 ± 10.56,49.14 ± 12.05
18,angry -> proud,Our,98.81 ± 1.19,46.27 ± 12.34,57.75 ± 12.98
19,angry -> proud,Our+GRE,100.00 ± 0.00,46.69 ± 12.56,58.23 ± 13.11
20,angry -> strutting,Base,98.33 ± 1.67,40.21 ± 10.76,52.50 ± 12.00
21,angry -> strutting,GZSDA,96.67 ± 3.33,35.71 ± 10.78,47.30 ± 11.92
22,angry -> strutting,Our,84.17 ± 8.21,49.65 ± 12.91,56.08 ± 13.22
23,angry -> strutting,Our+GRE,90.83 ± 5.83,49.47 ± 12.77,58.23 ± 13.19
24,childlike -> angry,Base,97.92 ± 2.08,27.06 ± 10.42,36.50 ± 13.45
25,childlike -> angry,GZSDA,97.92 ± 2.08,25.00 ± 11.18,32.83 ± 14.69
26,childlike -> angry,Our,97.92 ± 2.08,36.87 ± 9.30,49.35 ± 11.72
27,childlike -> angry,Our+GRE,97.92 ± 2.08,34.60 ± 9.99,46.10 ± 12.82
28,childlike -> depressed,Base,95.34 ± 2.71,2.64 ± 1.95,4.78 ± 3.44
29,childlike -> depressed,GZSDA,94.15 ± 2.55,2.44 ± 2.20,4.30 ± 3.84
30,childlike -> depressed,Our,94.15 ± 2.55,32.63 ± 13.45,39.74 ± 14.85
31,childlike -> depressed,Our+GRE,92.96 ± 2.93,36.25 ± 11.80,45.69 ± 12.96
32,childlike -> neutral,Base,97.16 ± 2.07,30.80 ± 10.16,41.35 ± 13.37
