,domain,method,seen,unseen,H-mean
0,A -> D,Base,92.32 ± 1.37,67.06 ± 4.20,77.30 ± 2.48
1,A -> D,GZSDA,87.73 ± 2.36,87.48 ± 2.46,87.42 ± 1.37
2,A -> D,Our,87.26 ± 2.34,88.32 ± 2.05,87.63 ± 1.19
3,A -> D,Our+GRE,85.60 ± 2.53,85.66 ± 2.33,85.44 ± 1.39
4,A -> W,Base,91.83 ± 0.44,58.19 ± 3.21,71.07 ± 2.47
5,A -> W,GZSDA,87.54 ± 1.09,82.67 ± 1.95,84.95 ± 0.95
6,A -> W,Our,85.32 ± 1.23,82.57 ± 2.36,83.79 ± 0.94
7,A -> W,Our+GRE,85.19 ± 1.30,83.15 ± 1.38,84.10 ± 0.81
8,D -> A,Base,87.29 ± 1.17,38.12 ± 1.18,53.02 ± 1.17
9,D -> A,GZSDA,83.59 ± 1.60,58.52 ± 1.63,68.70 ± 0.66
10,D -> A,Our,80.97 ± 1.59,63.79 ± 1.96,71.18 ± 0.61
11,D -> A,Our+GRE,81.08 ± 1.55,63.30 ± 1.72,70.95 ± 0.53
12,D -> W,Base,99.50 ± 0.20,93.85 ± 1.36,96.57 ± 0.75
13,D -> W,GZSDA,97.20 ± 0.56,94.89 ± 1.33,96.00 ± 0.52
14,D -> W,Our,94.06 ± 1.83,96.06 ± 1.14,94.96 ± 0.42
15,D -> W,Our+GRE,94.13 ± 1.41,95.98 ± 0.95,94.99 ± 0.36
16,W -> A,Base,87.80 ± 1.11,37.29 ± 1.34,52.27 ± 1.25
17,W -> A,GZSDA,83.23 ± 1.57,60.25 ± 1.93,69.73 ± 0.91
18,W -> A,Our,80.56 ± 1.78,62.61 ± 1.88,70.28 ± 0.59
19,W -> A,Our+GRE,80.54 ± 1.93,62.60 ± 2.59,70.16 ± 0.95
20,W -> D,Base,99.46 ± 0.25,98.55 ± 0.55,99.00 ± 0.19
21,W -> D,GZSDA,98.34 ± 0.30,99.30 ± 0.30,98.82 ± 0.11
22,W -> D,Our,97.66 ± 0.38,99.76 ± 0.15,98.70 ± 0.16
23,W -> D,Our+GRE,97.25 ± 0.37,99.76 ± 0.15,98.49 ± 0.13
