,domain,method,seen,unseen,H-mean
0,Art -> Clipart,Base,71.69 ± 0.55,28.16 ± 0.58,40.41 ± 0.52
1,Art -> Clipart,GZSDA,66.56 ± 0.56,41.56 ± 0.79,51.13 ± 0.48
2,Art -> Clipart,Our,64.03 ± 0.32,45.49 ± 0.67,53.18 ± 0.45
3,Art -> Clipart,Our+GRE,63.98 ± 0.60,45.21 ± 0.76,52.96 ± 0.50
4,Art -> Product,Base,89.66 ± 0.14,53.13 ± 1.24,66.68 ± 0.96
5,Art -> Product,GZSDA,87.17 ± 0.38,65.26 ± 0.98,74.62 ± 0.60
6,Art -> Product,Our,85.36 ± 0.38,68.37 ± 1.17,75.89 ± 0.63
7,Art -> Product,Our+GRE,85.41 ± 0.48,68.76 ± 1.19,76.15 ± 0.67
8,Art -> RealWorld,Base,85.95 ± 0.93,62.81 ± 0.59,72.56 ± 0.37
9,Art -> RealWorld,GZSDA,83.59 ± 0.90,69.13 ± 0.86,75.65 ± 0.39
10,Art -> RealWorld,Our,81.53 ± 0.86,73.63 ± 0.98,77.34 ± 0.37
11,Art -> RealWorld,Our+GRE,81.35 ± 1.04,73.35 ± 0.74,77.10 ± 0.27
12,Clipart -> Art,Base,72.71 ± 0.46,33.25 ± 1.35,45.56 ± 1.24
13,Clipart -> Art,GZSDA,69.55 ± 0.86,50.99 ± 0.83,58.80 ± 0.34
14,Clipart -> Art,Our,66.82 ± 1.13,53.21 ± 0.69,59.20 ± 0.33
15,Clipart -> Art,Our+GRE,66.46 ± 1.05,53.32 ± 0.58,59.14 ± 0.36
16,Clipart -> Product,Base,88.20 ± 0.30,50.01 ± 1.87,63.75 ± 1.50
17,Clipart -> Product,GZSDA,85.60 ± 0.54,63.44 ± 1.94,72.78 ± 1.14
18,Clipart -> Product,Our,83.19 ± 0.75,66.22 ± 2.15,73.63 ± 1.11
19,Clipart -> Product,Our+GRE,83.20 ± 0.81,66.62 ± 2.11,73.88 ± 1.05
20,Clipart -> RealWorld,Base,86.83 ± 0.72,48.60 ± 1.78,62.21 ± 1.27
21,Clipart -> RealWorld,GZSDA,83.60 ± 0.83,65.22 ± 1.80,73.18 ± 0.83
22,Clipart -> RealWorld,Our,80.95 ± 0.94,68.29 ± 1.80,73.98 ± 0.68
23,Clipart -> RealWorld,Our+GRE,81.02 ± 0.91,68.73 ± 1.63,74.28 ± 0.65
24,Product -> Art,Base,72.28 ± 0.72,35.73 ± 1.53,47.71 ± 1.26
25,Product -> Art,GZSDA,67.86 ± 0.61,51.54 ± 0.59,58.57 ± 0.35
26,Product -> Art,Our,65.51 ± 0.59,53.97 ± 0.46,59.17 ± 0.33
27,Product -> Art,Our+GRE,64.94 ± 0.28,55.12 ± 1.02,59.61 ± 0.60
28,Product -> Clipart,Base,72.14 ± 0.42,25.85 ± 0.99,38.02 ± 1.09
29,Product -> Clipart,GZSDA,66.61 ± 0.21,43.91 ± 1.00,52.90 ± 0.77
30,Product -> Clipart,Our,63.75 ± 0.24,46.64 ± 1.29,53.83 ± 0.90
31,Product -> Clipart,Our+GRE,64.23 ± 0.37,46.53 ± 1.03,53.94 ± 0.78
32,Product -> RealWorld,Base,87.96 ± 0.73,62.96 ± 1.97,73.28 ± 1.10
33,Product -> RealWorld,GZSDA,84.06 ± 0.78,72.03 ± 1.64,77.50 ± 0.63
34,Product -> RealWorld,Our,81.00 ± 0.79,74.92 ± 1.40,77.78 ± 0.47
35,Product -> RealWorld,Our+GRE,81.37 ± 0.88,74.92 ± 1.41,77.95 ± 0.44
36,RealWorld -> Art,Base,73.61 ± 0.51,54.60 ± 0.51,62.69 ± 0.45
37,RealWorld -> Art,GZSDA,71.51 ± 0.95,62.41 ± 1.22,66.58 ± 0.44
38,RealWorld -> Art,Our,68.75 ± 0.96,65.38 ± 1.13,66.96 ± 0.33
39,RealWorld -> Art,Our+GRE,67.79 ± 0.83,65.20 ± 0.99,66.42 ± 0.17
40,RealWorld -> Clipart,Base,72.19 ± 0.30,33.48 ± 1.00,45.71 ± 0.95
41,RealWorld -> Clipart,GZSDA,67.29 ± 0.46,47.29 ± 0.35,55.53 ± 0.20
42,RealWorld -> Clipart,Our,64.42 ± 0.67,50.45 ± 0.58,56.56 ± 0.27
43,RealWorld -> Clipart,Our+GRE,64.15 ± 0.50,50.91 ± 0.38,56.76 ± 0.28
44,RealWorld -> Product,Base,90.03 ± 0.18,72.35 ± 1.61,80.19 ± 1.00
45,RealWorld -> Product,GZSDA,87.29 ± 0.24,77.21 ± 1.35,81.91 ± 0.68
46,RealWorld -> Product,Our,84.70 ± 0.59,79.76 ± 1.25,82.12 ± 0.45
47,RealWorld -> Product,Our+GRE,85.09 ± 0.76,79.45 ± 1.33,82.12 ± 0.41
